id,name,latitude,longitude,elevation
47895,TOKUSHIMA / SHIKOKU,34.07,134.58,6.0
48327,CHIANG MAI,18.78,98.98,312.0
48461,PHATTHAYA,12.92,100.87,59.0
48569,HAT YAI,6.92,100.43,27.0
48657,KUANTAN,3.62,103.22,18.0
48940,VIENTIANE,17.95,102.57,171.0
50953,HARBIN,45.75,126.77,143.0
51765,TIKANLIK,40.63,87.7,847.0
52866,XINING,36.62,101.77,2262.0
53959,YUNCHENG,35.03,111.02,376.0
54324,CHAOYANG,41.55,120.45,167.0
54497,DANDONG,40.08,124.33,14.0
54753,LONGKOU,37.62,120.32,5.0
55472,XAINZA,30.95,88.63,4670.0
56196,MIANYANG,31.47,104.68,472.0
57083,ZHENGZHOU,34.72,113.65,111.0
57494,WUHAN,30.62,114.13,23.0
57687,CHANGSHA,28.23,112.87,68.0
57972,CHENZHOU,25.8,113.03,185.0
58238,NANJING,31.73,118.85,12.0
58477,DINGHAI,30.03,122.12,37.0
58968,TAIBEI,25.03,121.52,9.0
59287,GUANGZHOU,23.13,113.32,8.0
59644,BEIHAI,21.48,109.1,16.0
59948,YA XIAN,18.23,109.52,7.0
60025,TENERIFE SUR,28.05,-16.57,64.0
60680,TAMANRASSET,22.78,5.52,1378.0
61442,NOUAKCHOTT,18.1,-15.95,2.0
61832,CONAKRY/GBESSIA,9.57,-13.62,26.0
61988,RODRIGUES,-19.68,63.42,58.0
62405,LUXOR,25.67,32.7,93.0
62641,PORT SUDAN,19.58,37.22,3.0
63450,ADDIS ABABA,8.98,38.8,2324.0
63733,MUSOMA,-1.5,33.8,1147.0
63870,ZANZIBAR/KISAUNI,-6.22,39.22,15.0
64220,KINSHASA,-4.37,15.25,445.0
64450,BRAZZAVILLE,-4.25,15.25,319.0
64756,ABECHE,13.85,20.85,549.0
65201,LAGOS/IKEJA,6.58,3.33,40.0
65472,ACCRA,5.6,-0.17,68.0
65562,DIMBOKRO,6.65,-4.7,92.0
67009,DIEGO-SUAREZ,-12.35,49.3,114.0
67237,NAMPULA,-15.1,39.28,438.0
67341,MAPUT0/MAVALANE,-25.92,32.57,39.0
67775,HARARE-KUTSAGA,-17.92,31.13,1479.0
68010,OKAUKUEJO,-19.18,15.92,1102.0
68112,WINDHOEK HOSEA INTL.,-22.48,17.47,1719.0
68296,SKUKUZA,-24.98,31.6,263.0
68438,KIMBERLEY,-28.8,24.77,1204.0
68523,BRANDVLEI,-30.47,20.48,922.0
68727,BEAUFORT WEST,-32.35,22.55,902.0
68906,GOUGH ISLAND,-40.35,-9.88,54.0
70200,NOME,64.5,-165.43,6.0
70361,YAKUTAT,59.52,-139.67,11.0
71078,LYNN LAKE MAN.,56.87,-101.08,357.0
71260,SAULT STE.MARIE ONT.,46.48,-84.5,187.0
71621,TRENTON,44.12,-77.53,85.0
71628,OTTAWA,45.32,-75.67,116.0
71727,BAGOTVILLE,48.33,-71.0,159.0
71809,DEER LAKE NF.,49.22,-57.4,17.0
71828,SCHEFFERVILLE QUE.,54.8,-66.82,522.0
71888,JASPER,ALTA.,52.88,-118.07,1061.0
71924,RESOLUTE,74.72,-94.98,40.0
71934,FORT SMITH,60.02,-111.95,203.0
72203,WEST PALM BEACH,26.68,-80.12,6.0
72211,TAMPA,27.97,-82.53,8.0
72223,MOBILE/BATES F. AL.,30.68,-88.25,66.0
72250,BROWNSVILLE/TX.,25.92,-97.42,7.0
72261,DEL RIO,29.37,-100.92,310.0
72274,TUCSON INT.,32.12,-110.93,802.0
72306,RALEIGH/DURHAM NC.,35.87,-78.78,132.0
72327,NASHVILLE INT.,36.12,-86.68,180.0
72365,ALBUQUERQUE INT.,35.05,-106.62,1631.0
72386,LAS VEGAS/MCCARRAN,36.08,-115.17,662.0
72406,BALTIMORE,39.18,-76.67,48.0
72421,CINCINNATI OH.,39.05,-84.67,271.0
72446,KANSAS CITY,39.28,-94.75,316.0
72492,STOCKTON METRO. CA.,37.9,-121.25,8.0
72509,BOSTON MA.,42.37,-71.03,6.0
72528,BUFFALO INT.,NY.,42.93,-78.73,220.0
72547,DUBUQUE/MUN. IA.,42.4,-90.7,328.0
72572,SALT LAKE CITY,40.78,-111.97,1288.0
72640,MILWAUKEE,42.95,-87.9,220.0
72698,PORTLAND/INT. OR.,45.6,-122.6,12.0
72764,BISMARCK/MUN. ND.,46.77,-100.75,511.0
74486,NEW YORK JOHN F.K.,40.65,-73.78,4.0
76612,GUADALAJARA,20.67,-103.38,1551.0
76692,VERACRUZ,19.15,-96.12,16.0
78073,NASSAU,25.05,-77.47,3.0
78397,KINGSTON,17.93,-76.78,3.0
78485,LAS AMERICAS,18.43,-69.67,18.0
78641,GUATEMALA AEROPUERTO,14.58,-90.52,1489.0
78774,LIBERIA,10.6,-85.53,80.0
78948,HEWANORRA AIRPORT,13.75,-60.95,3.0
78982,QUEEN BEATRIX-AIRP.,12.5,-70.02,3.0
80110,MEDELLIN/OLAYA,6.22,-75.6,1490.0
81001,GEORGETOWN,6.8,-58.15,1.0
82022,BOA VISTA,2.83,-60.7,140.0
82599,NATAL AEROPORTO,-5.92,-35.25,52.0
83096,ARACAJU,-10.92,-37.05,9.0
83423,GOIANIA,-16.68,-49.28,747.0
83698,CAMPOS,-21.75,-41.33,11.0
83827,FOZ DO IGUACU AERP.,-25.52,-54.58,180.0
84071,QUITO,-0.13,-78.48,2794.0
84628,LIMA,-12.0,-77.12,12.0
85223,COCHABAMBA,-17.42,-66.18,2548.0
85469,OSTERINSEL,-27.15,-109.42,51.0
